No,Question,Answer
1,What is GLS University?,GLS University is a premier private institution located in Ahmedabad dedicated to providing quality education in various fields including engineering, management, and liberal arts.
2,How do I apply for admission to GLS University?,You can apply online through the official website www.glsuniversity.ac.in. Fill out the application form with required documents and submit the prescribed application fee.
3,What are the eligibility criteria for B.Tech admission?,Candidates must have passed 12th (Science stream) with Physics and Mathematics. Some programs may have additional requirements. Check the official prospectus for details.
4,What are the cut-off marks for admission?,Cut-off marks vary by course and category. Please visit the admissions page or contact the admissions office for current year's cut-offs.
5,Does GLS University accept GMAT/GRE scores?,Yes for postgraduate programs. Please check the specific program requirements on the admissions portal.
6,What is the fee structure for B.Tech programs?,Fee structure varies by program and category. Annual fees typically range from Rs. 2-4 lakhs. Detailed breakdown available on the official website.
7,Are there scholarship opportunities at GLS University?,Yes. Merit-based scholarships, need-based scholarships, and special category scholarships are available. Contact the financial aid office for eligibility criteria.
8,What is the campus placement rate?,GLS University maintains a strong placement record with 85-90% placement rate. Major recruiters include tech companies, management consultancies, and financial institutions.
9,Which companies recruit from GLS University?,Top recruiters include Infosys, TCS, Accenture, Deloitte, Goldman Sachs, Amazon, Microsoft, and various other national and multinational companies.
10,What are the hostel facilities available?,The university provides separate hostels for boys and girls with modern amenities including Wi-Fi, mess facilities, sports facilities, and 24/7 security.
11,Is there a hostel fee? What is the cost?,Hostel fee varies based on room type (single/double/triple). Annual hostel fees typically range from Rs. 40,000-80,000. Contact the hostel office for exact details.
12,What are the sports facilities at GLS University?,The campus features a gymnasium, indoor and outdoor sports grounds, swimming pool, basketball court, badminton court, table tennis, and more.
13,How many libraries does GLS University have?,The university has a central library with over 50,000+ books and access to digital databases and journals. Faculty libraries are also available in various departments.
14,What is the Wi-Fi coverage on campus?,The entire campus has 24/7 Wi-Fi coverage with high-speed internet connectivity for students.
15,How can I access the library resources online?,Students can access digital resources through the university's online portal using their student ID and password from anywhere.
16,What is the academic calendar for the current year?,The academic year typically runs from July to May with winter and summer breaks. Exact dates are available on the official website.
17,When is the admission process for the current year?,Admission process usually starts from April-May for most programs. Check the admissions page for exact dates and timeline.
18,How do I check my exam results?,Exam results are available on the student portal. Log in with your registration number and password to view your marks.
19,What is the attendance policy at GLS University?,A minimum of 75% attendance is required in all courses. Students below this threshold may not be allowed to sit for exams.
20,How do I apply for leave/permission to miss classes?,Students can apply for leave through the student portal or offline through their course coordinator. Medical certificates are required for medical leave.
21,What are the academic rules and regulations?,All academic policies are outlined in the student handbook. Students can access it through the official website or obtain a printed copy from the admissions office.
22,How do I contact my course coordinator or faculty?,Faculty email addresses and office hours are available on the department website. You can also visit during designated office hours.
23,What is the examination pattern?,The evaluation pattern typically includes continuous internal assessment (30%), mid-semester exam (20%), and end-semester exam (50%).
24,Can I defer my admission to the next year?,Yes, deferment of admission is possible. You must formally apply for deferment with reasons. Approval depends on university policies and course availability.
25,What documents do I need during admission?,Original and photocopies of 10th certificate, 12th certificate, JEE scorecard, character certificate, medical certificate, and cast certificate (if applicable).
26,Is the entrance exam mandatory for admission?,Admission is primarily merit-based. For engineering programs JEE Main score is required. For management programs GMAT/CAT/XAT scores may be required.
27,How do I get my degree certificate after graduation?,Degrees are conferred during the convocation ceremony. You can collect your original degree certificate from the registrar's office after convocation.
28,What is the process for internship placement?,The university has a dedicated internship cell. Companies visit campus for internship recruitment. Students can also apply directly through company portals.
29,How many semesters are there in a typical undergraduate program?,Undergraduate programs are typically 4 years with 8 semesters of 6 months each.
30,What is the seat matrix for each program?,Seat matrix varies by program and admission category. For detailed information visit the admissions portal or contact the admissions office.
31,Are there any restrictions on social media usage on campus?,Social media usage is allowed but should not disrupt academic activities. Responsible usage is encouraged as per the code of conduct.
32,What is the anti-ragging policy?,GLS University has strict zero-tolerance policy against ragging. Any reported incident is investigated and severe action is taken against those involved.
33,How do I report a complaint or grievance?,Students can file complaints through the student grievance redressal system online portal or approach the dean of student affairs.
34,What are the code of conduct rules for students?,Students must maintain discipline follow academic rules be respectful to others avoid drugs and alcohol and maintain the university's reputation.
35,How can I get a duplicate admit card?,Contact the admissions office with your student ID and a request letter. They will issue a duplicate admit card within 2-3 working days.
36,What is the process to change my program after admission?,Program change requests are reviewed on a case-by-case basis. Approval depends on merit availability and fulfillment of prerequisites.
37,How do I update my personal information in the system?,You can update your contact details through the student portal. Major details like name and DOB require approval from the admissions office.
38,Can I pursue a part-time job while studying?,Students are allowed to pursue part-time jobs but it should not affect their academic performance. Approval from the department head is recommended.
39,Are there any medical facilities on campus?,Yes the university has a medical center with trained staff to handle minor health issues. Emergency cases are referred to nearby hospitals.
40,What is the academic support available for struggling students?,The university provides tutoring peer mentoring and counseling services. Students can approach their faculty or the student support center.
